# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#





☘️VPN日本Tokyo,#genre#


☘️测试,#genre#

E! Entertairment HD,http://38.180.133.31:8000/play/a0nw/index.m3u8
ECUADOR TV,http://38.180.133.31:8000/play/ecuadortv/index.m3u8
ECUAVISA,http://38.180.133.31:8000/play/ecuavisa/index.m3u8
ESPN,http://38.180.133.31:8000/play/a11n/index.m3u8
ESPN,http://38.180.133.31:8000/play/a0ox/index.m3u8
ESPN  4 HD,http://38.180.133.31:8000/play/a0wd/index.m3u8
ESPN 2,http://38.180.133.31:8000/play/a0oy/index.m3u8
ESPN 2 HD,http://38.180.133.31:8000/play/a0t3/index.m3u8
ESPN 2 HD,http://38.180.133.31:8000/play/a10t/index.m3u8
ESPN 2 HD,http://38.180.133.31:8000/play/a14a/index.m3u8
ESPN 2 HD,http://38.180.133.31:8000/play/a0w4/index.m3u8
ESPN 3 HD,http://38.180.133.31:8000/play/a10r/index.m3u8
ESPN 3 HD,http://38.180.133.31:8000/play/a0w5/index.m3u8
ESPN 4HD,http://38.180.133.31:8000/play/a10q/index.m3u8
ESPN 5  HD,http://38.180.133.31:8000/play/a0w7/index.m3u8
ESPN 6,http://38.180.133.31:8000/play/a0wc/index.m3u8
ESPN 6HD,http://38.180.133.31:8000/play/a10s/index.m3u8
ESPN HD,http://38.180.133.31:8000/play/a0tb/index.m3u8
ESPN HD,http://38.180.133.31:8000/play/a14e/index.m3u8
ESPN HD,http://38.180.133.31:8000/play/a10w/index.m3u8
ESPN HD,http://38.180.133.31:8000/play/a0wa/index.m3u8
ESPN Premium HD,http://38.180.133.31:8000/play/a110/index.m3u8
ESPN Premium HD,http://38.180.133.31:8000/play/a14i/index.m3u8
EWTN,http://38.180.133.31:8000/play/a0no/index.m3u8
Ecuador TV,http://38.180.133.31:8000/play/a139/index.m3u8
Ecuavisa,http://38.180.133.31:8000/play/a11i/index.m3u8
Ecuavisa,http://38.180.133.31:8000/play/a13q/index.m3u8
Europa HD,http://38.180.133.31:8000/play/a0o2/index.m3u8
Exa TV,http://38.180.133.31:8000/play/a0oz/index.m3u8
FOX SPORTS 3 HD,http://38.180.133.31:8000/play/a0qo/index.m3u8
FUTV CR,http://38.180.133.31:8000/play/a0pk/index.m3u8
FUTV HD CR,http://38.180.133.31:8000/play/a0qk/index.m3u8
FX HD,http://38.180.133.31:8000/play/a0o1/index.m3u8
Film &amp; Arts,http://38.180.133.31:8000/play/a0l0/index.m3u8
Film &amp; arts HD,http://38.180.133.31:8000/play/a0nx/index.m3u8
Food Network,http://38.180.133.31:8000/play/a14f/index.m3u8
Fox Sport 3,http://38.180.133.31:8000/play/a0ne/index.m3u8
France24,http://38.180.133.31:8000/play/a0nm/index.m3u8
GOLPERU,http://38.180.133.31:8000/play/a12u/index.m3u8
Gamavision,http://38.180.133.31:8000/play/gamavision/index.m3u8
Gamavisiðn,http://38.180.133.31:8000/play/a13s/index.m3u8
Gol TV,http://38.180.133.31:8000/play/a0u5/index.m3u8
Golden,http://38.180.133.31:8000/play/a13x/index.m3u8
Golden Edge,http://38.180.133.31:8000/play/a13w/index.m3u8
Golden HD,http://38.180.133.31:8000/play/a13u/index.m3u8
Golden Premiere 2 HD,http://38.180.133.31:8000/play/a0kz/index.m3u8
Golden Premiere HD,http://38.180.133.31:8000/play/a134/index.m3u8
Golf Channel,http://38.180.133.31:8000/play/a0kp/index.m3u8
Golf Channel HD,http://38.180.133.31:8000/play/a0o7/index.m3u8
HBO Family HD,http://38.180.133.31:8000/play/a14j/index.m3u8
HBO Family HD,http://38.180.133.31:8000/play/a0le/index.m3u8
HBO HD,http://38.180.133.31:8000/play/a0lb/index.m3u8
HBO POP HD,http://38.180.133.31:8000/play/a0t4/index.m3u8
HBO Plus HD,http://38.180.133.31:8000/play/a0ld/index.m3u8
HBO XTREME,http://38.180.133.31:8000/play/a0lf/index.m3u8
HBO XTREME HD,http://38.180.133.31:8000/play/a14k/index.m3u8
HBO2 HD,http://38.180.133.31:8000/play/a0lc/index.m3u8
HOLA! TV HD,http://38.180.133.31:8000/play/a0pa/index.m3u8
History Channel,http://38.180.133.31:8000/play/a0ov/index.m3u8
History HD,http://38.180.133.31:8000/play/a0np/index.m3u8
Hola!TV,http://38.180.133.31:8000/play/a0km/index.m3u8
Home &amp; Health HD,http://38.180.133.31:8000/play/a0p9/index.m3u8
Home Garden Latino,http://38.180.133.31:8000/play/a0kk/index.m3u8
ID,http://38.180.133.31:8000/play/a0q1/index.m3u8
Kanal D Drama,http://38.180.133.31:8000/play/a11w/index.m3u8
LIFE TIME,http://38.180.133.31:8000/play/a0nd/index.m3u8
La Red,http://38.180.133.31:8000/play/a14c/index.m3u8
La voz de Maria,http://38.180.133.31:8000/play/a0q3/index.m3u8
Las Estrellas HD,http://38.180.133.31:8000/play/a14g/index.m3u8
Latina HD,http://38.180.133.31:8000/play/a111/index.m3u8
Love Nature,http://38.180.133.31:8000/play/a12o/index.m3u8
MTV,http://38.180.133.31:8000/play/a0q5/index.m3u8
MTV 00s HD,http://38.180.133.31:8000/play/a0pd/index.m3u8
MTV 80s,http://38.180.133.31:8000/play/a0ng/index.m3u8
MTV HD,http://38.180.133.31:8000/play/a0nr/index.m3u8
MTV Hits,http://38.180.133.31:8000/play/a0nf/index.m3u8
MTV SIM HD,http://38.180.133.31:8000/play/a0pc/index.m3u8
Mas Chic,http://38.180.133.31:8000/play/a0kh/index.m3u8
Movistar Deportes,http://38.180.133.31:8000/play/a11h/index.m3u8
Multimedios,http://38.180.133.31:8000/play/a0l1/index.m3u8
Multipremier,http://38.180.133.31:8000/play/a0q9/index.m3u8
Nat Geo HD,http://38.180.133.31:8000/play/a0qp/index.m3u8
National Geographic,http://38.180.133.31:8000/play/a0nc/index.m3u8
Nicarao TV,http://38.180.133.31:8000/play/a0n4/index.m3u8
Nick HD,http://38.180.133.31:8000/play/a0t9/index.m3u8
Nick Jr,http://38.180.133.31:8000/play/a0n1/index.m3u8
Nick SIM HD,http://38.180.133.31:8000/play/a0p6/index.m3u8
Nickelodeon,http://38.180.133.31:8000/play/a0pw/index.m3u8
OROMAR,http://38.180.133.31:8000/play/oromar/index.m3u8
OROMAR TV,http://38.180.133.31:8000/play/a144/index.m3u8
PLUS TV LIFE,http://38.180.133.31:8000/play/a12e/index.m3u8
Paramount,http://38.180.133.31:8000/play/a0l6/index.m3u8
Paramount HD,http://38.180.133.31:8000/play/a10v/index.m3u8
Paramount HD,http://38.180.133.31:8000/play/a0qq/index.m3u8
Pasiones HD,http://38.180.133.31:8000/play/a0qu/index.m3u8
Perœ MÆgico,http://38.180.133.31:8000/play/a12s/index.m3u8
Playboy,http://38.180.133.31:8000/play/a0mp/index.m3u8
RCN - GUA,http://38.180.133.31:8000/play/a0pn/index.m3u8
RCN HD,http://38.180.133.31:8000/play/a10x/index.m3u8
RHEMA TV,http://38.180.133.31:8000/play/a0qg/index.m3u8
RPP,http://38.180.133.31:8000/play/a12f/index.m3u8
RTS,http://38.180.133.31:8000/play/rts/index.m3u8
RTS,http://38.180.133.31:8000/play/a13d/index.m3u8
RTU,http://38.180.133.31:8000/play/a142/index.m3u8
RTU,http://38.180.133.31:8000/play/rtu/index.m3u8
SEMILLITAS,http://38.180.133.31:8000/play/a0n5/index.m3u8
SONY,http://38.180.133.31:8000/play/a0oo/index.m3u8
SONY HD,http://38.180.133.31:8000/play/a0p3/index.m3u8
SPACE HD,http://38.180.133.31:8000/play/a0qj/index.m3u8
STAR CHANNEL HD,http://38.180.133.31:8000/play/a0p1/index.m3u8
Sextreme,http://38.180.133.31:8000/play/a0zf/index.m3u8
Seæal Colombia,http://38.180.133.31:8000/play/a11x/index.m3u8
Sony Movies HD,http://38.180.133.31:8000/play/a0o3/index.m3u8
Space HD,http://38.180.133.31:8000/play/a0t1/index.m3u8
Star TVE HD,http://38.180.133.31:8000/play/a0o6/index.m3u8
Studio Universal,http://38.180.133.31:8000/play/a0qc/index.m3u8
Sun Channel HD,http://38.180.133.31:8000/play/a14l/index.m3u8
TBN Enlace,http://38.180.133.31:8000/play/a0nn/index.m3u8
TC TELEVISION,http://38.180.133.31:8000/play/tc/index.m3u8
TC Televisiðn,http://38.180.133.31:8000/play/a13t/index.m3u8
